Data,Market Index,,,,,,,,,,
Period,Monthly since Apr-1975 to present,,,,,,,,,,
Unit,Point,,,,,,,,,,
Month-Year,SET,SET501/,SET50FF2/,SET1003/,SET100FF4/,sSET5/,SETCLMV6/,SETHD7/,SETESG8/,SETWB9/,mai10/
Base,2518 (1975)/4/30 = 100,2538 (1995)/8/16 = 1000,2566 (2023)/12/28 = 875.25,2545 (2005)/4/30 = 1000,2566 (2023)/12/28 = 1938.83,2559 (2016)/12/30 = 1000,2561 (2018)/06/29 = 1000,2554 (2011)/6/30 = 1000,2561 (2018)/06/29 = 1000,2562 (2019)/03/29 = 1000,2545 (2002)/9/2 = 100
มิ.ย.-24,"1,300.96",806.1,797.37,"1,771.84","1,754.58",820.77,786.63,"1,069.00",832.35,786.18,355.45
พ.ค.-24,"1,345.66",825.96,820.55,"1,826.69","1,814.98",862.09,816.84,"1,100.51",870.43,815.9,379.92
เม.ย.-24,"1,367.95",837.97,838.18,"1,856.35","1,856.13",876,825.66,"1,081.69",890.29,834.14,395.27
มี.ค.-24,"1,377.94",844.41,840.9,"1,870.80","1,864.94",893.01,819.2,"1,083.35",895.66,815.52,411.72
ก.พ.-24,"1,370.67",836.19,837.52,"1,853.39","1,856.83",886.42,820.32,"1,084.06",893.02,816.14,414.9
ม.ค.-24,"1,364.52",834.02,829.53,"1,849.02","1,841.57",869.32,823.89,"1,103.02",885.79,794.95,406.5
ธ.ค.-23,"1,415.85",875.25,,"1,938.83",,873.6,857.16,"1,124.62",926.76,838.62,411.61
พ.ย.-23,"1,380.18",852.94,,"1,888.94",,845.81,846.86,"1,091.19",902.61,814.94,394.21
ต.ค.-23,"1,381.83",856.53,,"1,895.93",,833.56,826.15,"1,095.27",900.35,833.73,392.56
ก.ย.-23,"1,471.43",899.28,,"2,006.06",,922.18,872.33,"1,143.04",948.57,890.69,450.53
ส.ค.-23,"1,565.94",957.21,,"2,133.59",,988.29,918.36,"1,159.84","1,007.64",934.02,493.68
ก.ค.-23,"1,556.06",966.18,,"2,134.63",,947.58,895.65,"1,179.60","1,014.72",910.93,466.71
มิ.ย.-23,"1,503.10",919.28,,"2,039.87",,931.24,864.21,"1,138.25",973.22,902.73,459.78
พ.ค.-23,"1,533.54",924.65,,"2,059.87",,995.87,864.7,"1,129.18",979.24,933.29,489.75
เม.ย.-23,"1,529.12",922.72,,"2,059.63",,975.99,908.51,"1,142.51",987.41,962.18,501.99
มี.ค.-23,"1,609.17",974.26,,"2,177.85",,"1,036.35",948.9,"1,148.07","1,028.58",985.2,538.1
ก.พ.-23,"1,622.35",965.56,,"2,173.13",,"1,077.75",968.43,"1,167.28","1,028.44",999.34,565.69
ม.ค.-23,"1,671.46",992.95,,"2,240.18",,"1,109.69","1,007.75","1,197.52","1,057.90","1,025.00",603.98
ธ.ค.-22,"1,668.66","1,005.24",,"2,257.94",,"1,065.03","1,010.73","1,200.02","1,063.95","1,037.64",584.16
พ.ย.-22,"1,635.36",993.78,,"2,233.03",,"1,056.09","1,001.07","1,184.87","1,049.42","1,015.09",577.38
ต.ค.-22,"1,608.76",979.45,,"2,199.97",,"1,049.33",977.92,"1,170.19","1,027.56",998.52,645.93
ก.ย.-22,"1,589.51",954.44,,"2,151.00",,"1,036.02",961.28,"1,134.14",998.84,979.58,653.29
ส.ค.-22,"1,638.93",996.33,,"2,254.25",,"1,060.43","1,026.38","1,180.70","1,041.61","1,012.79",641.19
ก.ค.-22,"1,576.41",958.73,,"2,168.17",,"1,026.02",985.57,"1,149.10","1,001.67",971.4,581.46
มิ.ย.-22,"1,568.33",951.07,,"2,158.78",,"1,047.66",989,"1,137.85",996.57,963.63,597.65
พ.ค.-22,"1,663.41","1,002.24",,"2,280.45",,"1,110.85","1,042.89","1,198.00","1,049.27","1,016.20",641.14
เม.ย.-22,"1,667.44",983.56,,"2,250.62",,"1,136.34","1,019.13","1,177.45","1,035.32","1,003.74",669.88
มี.ค.-22,"1,695.24","1,019.67",,"2,313.46",,"1,134.02","1,032.94","1,205.49","1,070.82","1,011.85",662.91
ก.พ.-22,"1,685.18","1,016.58",,"2,305.32",,"1,136.63","1,026.41","1,212.19","1,069.15",979.75,634.42
ม.ค.-22,"1,648.81",993.29,,"2,259.88",,"1,145.16","1,009.17","1,194.33","1,049.26",938.27,632.68
ธ.ค.-21,"1,657.62",990.75,,"2,265.16",,"1,130.71","1,030.11","1,169.55","1,044.01",942.52,582.13
พ.ย.-21,"1,568.69",935.08,,"2,139.25",,"1,015.99",991.28,"1,090.54",984.03,918.82,551.4
ต.ค.-21,"1,623.43",974.67,,"2,220.55",,"1,024.56","1,037.35","1,122.70","1,024.32",974.79,558.65
ก.ย.-21,"1,605.68",964.35,,"2,194.43",,"1,000.81","1,041.65","1,119.13","1,013.52",955.97,544.68
ส.ค.-21,"1,638.75",992.13,,"2,254.77",,"1,030.05","1,075.02","1,118.70","1,030.78",989.84,522.15
ก.ค.-21,"1,521.92",910.61,,"2,079.28",,984.97,996.68,"1,039.17",943.86,934.99,495.46
มิ.ย.-21,"1,587.79",953.72,,"2,177.34",,"1,000.65","1,019.51","1,082.12",986.86,966.73,505.64
พ.ค.-21,"1,593.59",962.58,,"2,189.79",,981,"1,031.41","1,101.56",997.87,954.18,482.03
เม.ย.-21,"1,583.13",955.97,,"2,173.52",,932.72,"1,019.99","1,142.33",984.1,950.15,487.29
มี.ค.-21,"1,587.21",971.24,,"2,203.56",,880.88,"1,025.94","1,141.80",994.06,986.01,461.89
ก.พ.-21,"1,496.78",929.95,,"2,105.49",,769.87,990.34,"1,090.03",951,920.7,379.07
ม.ค.-21,"1,466.98",916.66,,"2,060.65",,734.44,958.63,"1,029.90",927.35,884.05,356.33
ธ.ค.-20,"1,449.35",910.45,,"2,037.03",,692.79,929.09,"1,017.69",915.91,865.18,336.29
พ.ย.-20,"1,408.31",908.61,,"2,028.65",,673.36,938.71,987.82,869.83,904.92,326.51
ต.ค.-20,"1,194.95",746.26,,"1,682.72",,596.73,768.68,808.11,718.3,780.43,309.56
ก.ย.-20,"1,237.04",781.06,,"1,752.71",,612.35,820.83,802.66,733.94,849.59,315.85
ส.ค.-20,"1,310.66",844.22,,"1,888.52",,621.99,893.88,888.77,788.99,901.68,308.36
ก.ค.-20,"1,328.53",862.98,,"1,922.18",,607.61,908.11,896.6,803.52,900.73,301.4
มิ.ย.-20,"1,339.03",885.15,,"1,959.01",,593.12,902.29,906.51,817.49,907.96,297.87
พ.ค.-20,"1,342.85",896.01,,"1,974.61",,576.19,881.26,888.8,823.64,905.88,284.87
เม.ย.-20,"1,301.66",873.56,,"1,913.35",,554.69,812.13,863.81,790.77,854.81,256.19
มี.ค.-20,"1,125.86",756.91,,"1,648.71",,434.78,679.01,770.5,688.74,729.85,216.05
ก.พ.-20,"1,340.52",897.84,,"1,969.26",,559.35,790.19,951.2,820.17,846.13,261.76
ม.ค.-20,"1,514.14","1,018.08",,"2,225.62",,651.8,911.67,"1,060.59",931.33,955.89,299.57
ธ.ค.-19,"1,579.84","1,068.50",,"2,342.21",,679.07,977.61,"1,152.65",982.38,989.19,309.64
พ.ย.-19,"1,590.59","1,070.23",,"2,349.32",,692.47,992.01,"1,134.57",985.96,"1,008.15",318.88
ต.ค.-19,"1,601.49","1,073.26",,"2,357.61",,709.1,997.02,"1,129.55",979.3,"1,003.48",325.46
ก.ย.-19,"1,637.22","1,090.31",,"2,400.84",,745.61,"1,026.55","1,164.71","1,013.91","1,022.54",345.62
ส.ค.-19,"1,654.92","1,096.47",,"2,423.44",,764.86,"1,040.96","1,188.76","1,034.58","1,045.58",352.72
ก.ค.-19,"1,711.97","1,130.92",,"2,505.76",,813.94,"1,095.57","1,245.68","1,075.24","1,056.21",369.16
มิ.ย.-19,"1,730.34","1,150.85",,"2,546.22",,798.53,"1,106.70","1,262.27","1,104.23","1,062.43",363.58
พ.ค.-19,"1,620.22","1,074.87",,"2,377.12",,745.2,"1,027.11","1,190.69","1,036.94","1,006.43",339.82
เม.ย.-19,"1,673.52","1,112.39",,"2,458.06",,787.8,"1,065.28","1,238.86","1,067.90","1,027.83",366.15
มี.ค.-19,"1,638.65","1,090.94",,"2,401.55",,772.76,"1,028.67","1,230.93","1,048.02",,364.12
ก.พ.-19,"1,653.48","1,099.30",,"2,425.16",,792.47,"1,025.50","1,240.21","1,063.50",,379.59
ม.ค.-19,"1,641.73","1,096.50",,"2,411.25",,781.14,"1,002.21","1,231.17","1,056.77",,380.45
ธ.ค.-18,"1,563.88","1,044.92",,"2,293.11",,730.5,941.89,"1,175.47","1,003.08",,356.44
พ.ย.-18,"1,641.80","1,091.55",,"2,409.21",,808.66,"1,038.33","1,237.17","1,042.55",,400.82
ต.ค.-18,"1,669.09","1,102.49",,"2,443.28",,860.96,"1,062.52","1,258.77","1,055.07",,422.81
ก.ย.-18,"1,756.41","1,158.75",,"2,578.35",,926.63,"1,132.75","1,326.79","1,111.59",,456.38
ส.ค.-18,"1,721.58","1,138.80",,"2,524.74",,903.45,"1,084.15","1,314.03","1,099.96",,439.01
ก.ค.-18,"1,701.79","1,127.56",,"2,495.73",,901.78,"1,079.01","1,296.01","1,081.70",,437.59
มิ.ย.-18,"1,595.58","1,051.63",,"2,320.82",,842.86,,"1,199.78",,,416.57
พ.ค.-18,"1,726.97","1,134.76",,"2,522.98",,938.26,,"1,282.09",,,460.88
เม.ย.-18,"1,780.11","1,177.02",,"2,606.47",,975.93,,"1,343.03",,,486.44
มี.ค.-18,"1,776.26","1,171.79",,"2,591.88",,998.99,,"1,350.55",,,490.65
ก.พ.-18,"1,830.13","1,205.57",,"2,672.01",,"1,034.82",,"1,372.38",,,500.44
ม.ค.-18,"1,826.86","1,186.16",,"2,650.17",,"1,079.40",,"1,332.31",,,540.74
ธ.ค.-17,"1,753.71","1,135.14",,"2,543.08",,"1,073.76",,"1,268.76",,,540.37
พ.ย.-17,"1,697.39","1,085.86",,"2,442.03",,"1,086.83",,"1,255.42",,,547.16
ต.ค.-17,"1,721.37","1,094.74",,"2,468.42",,"1,132.18",,"1,250.02",,,574.95
ก.ย.-17,"1,673.16","1,068.92",,"2,401.29",,"1,084.73",,"1,235.87",,,570.66
ส.ค.-17,"1,616.16","1,034.29",,"2,318.99",,"1,017.48",,"1,216.72",,,547.42
ก.ค.-17,"1,576.08","1,003.96",,"2,250.61",,"1,012.57",,"1,182.10",,,551.03
มิ.ย.-17,"1,574.74",994.35,,"2,241.46",,"1,022.22",,"1,202.26",,,565.71
พ.ค.-17,"1,561.66",986.08,,"2,225.59",,"1,015.42",,"1,206.18",,,568.88
เม.ย.-17,"1,566.32",993.98,,"2,237.96",,"1,020.31",,"1,236.29",,,577.47
มี.ค.-17,"1,575.11",996.44,,"2,244.58",,"1,047.83",,"1,249.29",,,597.45
ก.พ.-17,"1,559.56",978.46,,"2,207.93",,"1,055.22",,"1,209.97",,,612.82
ม.ค.-17,"1,577.31",984.21,,"2,223.16",,"1,076.59",,"1,185.03",,,646.02
ธ.ค.-16,"1,542.94",964.84,,"2,178.19",,,,"1,144.14",,,616.27
พ.ย.-16,"1,510.24",943.18,,"2,129.23",,,,"1,109.35",,,598.74
ต.ค.-16,"1,495.72",936.66,,"2,111.50",,,,"1,125.00",,,576.21
ก.ย.-16,"1,483.21",944.42,,"2,112.87",,,,"1,137.64",,,551.74
