Data,P/BV ratios,,,,,,,,,,
Period,Monthly since Apr-1988 to present,,,,,,,,,,
Unit,Times,,,,,,,,,,
Month-Year,SET,SET50,SET50FF,SET100,SET100FF,sSET,SETCLMV,SETHD,SETESG,SETWB,mai
ก.ค.-24,1.24,1.47,1.23,1.41,1.19,0.94,1.13,0.85,1.22,2.36,1.66
มิ.ย.-24,1.22,1.43,1.2,1.39,1.18,0.95,1.1,0.95,1.2,2.51,1.79
พ.ค.-24,1.26,1.46,1.24,1.43,1.22,1,1.14,0.98,1.26,2.61,1.9
เม.ย.-24,1.32,1.53,1.31,1.5,1.29,1.04,1.19,0.99,1.33,2.75,2.02
มี.ค.-24,1.33,1.56,1.32,1.52,1.3,1.05,1.18,1,1.35,2.73,2.11
ก.พ.-24,1.33,1.55,1.32,1.52,1.3,1.03,1.18,1.01,1.35,2.73,2.1
ม.ค.-24,1.32,1.53,1.3,1.5,1.28,1.02,1.17,1,1.33,2.65,2.08
ธ.ค.-23,1.36,1.61,,1.55,,1.01,1.2,1.04,1.41,2.58,2.17
พ.ย.-23,1.33,1.57,,1.51,,0.98,1.19,1.01,1.38,2.5,2.09
ต.ค.-23,1.35,1.59,,1.53,,0.98,1.17,1.02,1.39,2.56,2.09
ก.ย.-23,1.44,1.67,,1.63,,1.08,1.28,1.07,1.47,2.71,2.4
ส.ค.-23,1.53,1.78,,1.73,,1.17,1.35,1.09,1.56,2.85,2.65
ก.ค.-23,1.51,1.79,,1.72,,1.09,1.3,1.11,1.57,2.68,2.44
มิ.ย.-23,1.46,1.71,,1.64,,1.14,1.22,1.16,1.51,2.31,2.41
พ.ค.-23,1.49,1.72,,1.66,,1.22,1.22,1.15,1.52,2.39,2.56
เม.ย.-23,1.51,1.75,,1.69,,1.21,1.3,1.18,1.56,2.46,2.66
มี.ค.-23,1.59,1.85,,1.8,,1.29,1.36,1.2,1.67,2.53,2.85
ก.พ.-23,1.61,1.83,,1.8,,1.33,1.37,1.22,1.68,2.57,2.96
ม.ค.-23,1.65,1.87,,1.84,,1.39,1.41,1.25,1.72,2.73,3.13
ธ.ค.-22,1.65,1.75,,1.72,,1.4,1.42,1.22,1.62,2.93,2.98
พ.ย.-22,1.61,1.73,,1.7,,1.39,1.41,1.2,1.6,2.86,2.98
ต.ค.-22,1.6,1.72,,1.7,,1.39,1.39,1.21,1.59,2.86,3.31
ก.ย.-22,1.59,1.69,,1.67,,1.37,1.37,1.18,1.56,2.83,3.35
ส.ค.-22,1.64,1.76,,1.75,,1.41,1.46,1.23,1.63,2.93,3.3
ก.ค.-22,1.66,1.86,,1.82,,1.35,1.46,1.22,1.71,2.9,2.98
มิ.ย.-22,1.65,1.82,,1.8,,1.39,1.66,1.16,1.71,3,3.11
พ.ค.-22,1.75,1.93,,1.9,,1.48,1.77,1.23,1.8,3.17,3.46
เม.ย.-22,1.79,1.92,,1.92,,1.54,1.76,1.21,1.81,3.2,3.74
มี.ค.-22,1.73,1.84,,1.84,,1.53,1.75,1.25,1.73,3.25,3.67
ก.พ.-22,1.73,1.84,,1.85,,1.58,1.75,1.26,1.74,3.23,3.69
ม.ค.-22,1.78,1.84,,1.86,,1.61,1.76,1.27,1.74,3.15,3.74
ธ.ค.-21,1.79,1.89,,1.91,,1.71,1.78,1.29,1.69,3.15,3.42
พ.ย.-21,1.68,1.78,,1.8,,1.54,1.71,1.2,1.59,3.07,3.18
ต.ค.-21,1.77,1.89,,1.91,,1.57,1.83,1.26,1.69,3.28,2.92
ก.ย.-21,1.73,1.87,,1.88,,1.53,1.85,1.27,1.66,3.23,2.83
ส.ค.-21,1.76,1.92,,1.93,,1.56,1.91,1.26,1.69,3.34,2.67
ก.ค.-21,1.67,1.79,,1.8,,1.53,1.81,1.19,1.57,3.15,2.61
มิ.ย.-21,1.75,1.88,,1.87,,1.56,1.74,0.95,1.66,3.29,2.62
พ.ค.-21,1.75,1.89,,1.89,,1.52,1.76,0.97,1.68,3.25,2.47
เม.ย.-21,1.79,1.97,,1.96,,1.45,1.8,1.03,1.7,3.3,2.49
มี.ค.-21,1.8,2,,1.99,,1.36,1.81,1.04,1.71,3.42,2.33
ก.พ.-21,1.7,1.93,,1.92,,1.2,1.76,1,1.65,3.21,1.97
ม.ค.-21,1.66,1.89,,1.87,,1.15,1.71,0.96,1.63,3.09,1.84
ธ.ค.-20,1.64,1.77,,1.75,,1.1,1.6,0.98,1.56,2.86,1.73
พ.ย.-20,1.58,1.76,,1.74,,1.07,1.61,0.95,1.48,2.99,1.71
ต.ค.-20,1.36,1.47,,1.47,,0.95,1.35,0.79,1.25,2.61,1.66
ก.ย.-20,1.39,1.5,,1.51,,0.97,1.48,0.78,1.28,2.84,1.65
ส.ค.-20,1.48,1.63,,1.63,,0.99,1.62,0.87,1.38,3.02,1.61
ก.ค.-20,1.48,1.66,,1.65,,0.94,1.63,0.88,1.4,2.95,1.48
มิ.ย.-20,1.48,1.69,,1.67,,0.96,1.45,1.01,1.4,2.84,1.45
พ.ค.-20,1.48,1.7,,1.68,,0.93,1.42,0.99,1.41,2.82,1.38
เม.ย.-20,1.43,1.64,,1.61,,0.87,1.24,0.94,1.32,2.65,1.24
มี.ค.-20,1.23,1.42,,1.39,,0.68,1.13,0.88,1.2,2.26,1.04
ก.พ.-20,1.49,1.71,,1.68,,0.88,1.31,1.09,1.43,2.62,1.26
ม.ค.-20,1.71,1.98,,1.93,,1.03,1.53,1.22,1.7,3.06,1.51
ธ.ค.-19,1.79,2.07,,2.01,,1.13,1.68,1.38,1.68,3.22,1.55
พ.ย.-19,1.79,2.07,,2.01,,1.15,1.7,1.36,1.68,3.28,1.58
ต.ค.-19,1.82,2.09,,2.03,,1.19,1.7,1.35,1.67,3.29,1.63
ก.ย.-19,1.83,2.08,,2.03,,1.25,1.78,1.42,1.76,3.34,1.7
ส.ค.-19,1.84,2.07,,2.04,,1.28,1.8,1.45,1.78,3.41,1.73
ก.ค.-19,1.88,2.11,,2.07,,1.36,1.88,1.49,1.83,3.46,1.85
มิ.ย.-19,1.89,2.12,,2.09,,1.3,1.79,1.43,1.91,3.42,1.82
พ.ค.-19,1.77,1.98,,1.95,,1.22,1.75,1.4,1.79,3.24,1.67
เม.ย.-19,1.86,2.08,,2.06,,1.31,1.84,1.49,1.87,3.38,1.77
มี.ค.-19,1.82,2.04,,2.01,,1.29,1.82,1.48,1.85,,1.79
ก.พ.-19,1.84,2.06,,2.04,,1.32,1.8,1.5,1.87,,1.9
ม.ค.-19,1.87,2.09,,2.06,,1.29,1.75,1.5,1.89,,1.97
ธ.ค.-18,1.78,1.98,,1.92,,1.16,1.67,1.45,1.74,,1.83
พ.ย.-18,1.86,2.07,,2.02,,1.28,1.79,1.52,1.81,,2.04
ต.ค.-18,1.91,2.11,,2.07,,1.37,1.82,1.55,1.86,,2.12
ก.ย.-18,2,2.21,,2.18,,1.48,1.94,1.63,1.96,,2.25
ส.ค.-18,1.95,2.17,,2.13,,1.44,1.91,1.61,1.93,,2.16
ก.ค.-18,1.95,2.17,,2.12,,1.41,1.89,1.59,1.92,,2.17
มิ.ย.-18,1.83,1.99,,1.94,,1.28,,1.5,,,2.06
พ.ค.-18,1.97,2.15,,2.11,,1.42,,1.61,,,2.23
เม.ย.-18,2.07,2.27,,2.22,,1.54,,1.72,,,2.4
